App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Total
G-NetTrack Pro,TOOLS,4.3,255,1.6M,5000,Paid,15,Everyone,Tools,25-07-2018,14.6,4.0 and up,75000
"G Theme 2 for LG V30, LG G6",PERSONALIZATION,4.3,25,15M,500,Paid,1,Everyone,Personalization,13-12-2017,1.0.2,7.0 and up,500
A41 WatchFace for Android Wear Smart Watch,LIFESTYLE,4.5,231,5.7M,5000,Paid,1,Everyone,Lifestyle,24-12-2017,7.0.1,4.3 and up,5000
G-NetReport Pro,TOOLS,0,0,1.6M,10,Paid,26,Everyone,Tools,14-06-2018,5,4.0 and up,260
Dialer theme G Black Gold,PERSONALIZATION,4.2,33,857k,500,Paid,1,Everyone,Personalization,01-01-2016,2,4.0 and up,500
G-NetWiFi Pro,TOOLS,3.3,6,1.5M,100,Paid,6,Everyone,Tools,18-06-2018,3.2,4.0 and up,600
H*nest Meditation,LIFESTYLE,4.9,145,48M,5000,Paid,2,Mature 17+,Lifestyle,07-04-2016,1,4.0.3 and up,10000
Deaf - Hearing chat device H,COMMUNICATION,4.4,9,51k,500,Paid,4,Everyone,Communication,08-02-2017,3.6,2.2 and up,2000
most expensive app (H),FAMILY,4.3,6,1.5M,100,Paid,400,Everyone,Entertainment,16-07-2018,1,7.0 and up,40000
The World Ends With You,GAME,4.6,4108,13M,10000,Paid,18,Everyone 10+,Arcade,14-12-2015,1.0.4,4.0 and up,180000
Ulysse Speedometer Pro,AUTO_AND_VEHICLES,4.6,4140,Varies with device,50000,Paid,2,Everyone,Auto & Vehicles,13-05-2018,Varies with device,Varies with device,100000
D+H Reaction Wall,GAME,0,0,Varies with device,1,Paid,1,Everyone,Arcade,24-07-2016,Varies with device,Varies with device,1
Cut the Rope GOLD,FAMILY,4.6,61264,43M,1000000,Paid,1,Everyone,Puzzle,19-06-2018,3.7.0,4.1 and up,1000000
J Alvarej Moji,COMMUNICATION,0,2,13M,10,Paid,2,Everyone,Communication,03-05-2017,1,3.2 and up,20
K-@ Mail Pro - Email App,COMMUNICATION,4.2,1603,Varies with device,10000,Paid,5,Everyone,Communication,23-07-2016,Varies with device,Varies with device,50000
K.MOJI,FAMILY,4.8,16,8.9M,500,Paid,2,Everyone,Entertainment,09-05-2017,1,4.2 and up,1000
Math Games for Pre-K - Grade 4,FAMILY,4.6,28,23M,1000,Paid,2,Everyone,Education;Education,13-01-2014,1.02,2.2 and up,2000
Fuzzy Numbers: Pre-K Number Foundation,FAMILY,4.7,21,44M,1000,Paid,6,Everyone,Education;Education,21-07-2017,1.3,4.1 and up,6000
Anna.K Tarot,FAMILY,4.8,17,23M,100,Paid,4,Mature 17+,Entertainment,16-01-2017,1.4.4,4.0.3 and up,400
Minecraft,FAMILY,4.5,2375336,Varies with device,10000000,Paid,7,Everyone 10+,Arcade;Action & Adventure,24-07-2018,1.5.2.1,Varies with device,70000000
m>notes notepad,PRODUCTIVITY,4.3,184,Varies with device,1000,Paid,3,Everyone,Productivity,04-12-2015,Varies with device,2.2 and up,3000
?? I'm rich,LIFESTYLE,3.8,718,26M,10000,Paid,400,Everyone,Lifestyle,11-03-2018,1.0.0,4.4 and up,4000000
I'm Rich - Trump Edition,LIFESTYLE,3.6,275,7.3M,10000,Paid,400,Everyone,Lifestyle,03-05-2018,1.0.1,4.1 and up,4000000
N Launcher Pro - Nougat 7.0,PERSONALIZATION,4.3,2538,6.4M,100000,Paid,3,Everyone,Personalization,23-03-2018,1.5.1,4.1 and up,300000
Traps n' Gemstones,GAME,4.5,413,9.1M,1000,Paid,5,Everyone,Adventure,17-05-2017,1.04,4.0.3 and up,5000
Guns'n'Glory Zombies Premium,FAMILY,4.1,313,34M,5000,Paid,3,Everyone 10+,Strategy,15-07-2016,1.1.5,2.3.3 and up,15000
Guns'n'Glory Premium,FAMILY,4.4,3570,21M,100000,Paid,3,Everyone 10+,Strategy,22-09-2017,1.8.1,2.3.3 and up,300000
Ghosts'n Goblins MOBILE,GAME,3.8,466,28M,10000,Paid,1,Everyone,Arcade,28-03-2017,1.00.02,4.1 and up,10000
Dark Infusion Substratum Theme for Android N & O,PERSONALIZATION,4.8,133,59M,1000,Paid,2,Everyone,Personalization,03-08-2018,15.6,7.0 and up,2000
Guns'n'Glory Heroes Premium,FAMILY,4.3,923,Varies with device,10000,Paid,3,Everyone,Strategy,09-11-2017,Varies with device,Varies with device,30000
Lock 'n' Roll Pro - Ad Free,GAME,4.6,169,13M,1000,Paid,1,Everyone,Card,01-07-2015,4.0.5,2.3.3 and up,1000
Age of Conquest: N. America,FAMILY,4.5,659,3.3M,10000,Paid,4,Everyone,Strategy,04-08-2018,1.0.28,1.5 and up,40000
Guns'n'Glory WW2 Premium,FAMILY,4.5,4656,20M,100000,Paid,3,Everyone 10+,Strategy,08-12-2017,1.4.11,4.0 and up,300000
Jump'N'Shoot Attack,GAME,4.1,155,32M,1000,Paid,2,Everyone,Arcade,26-05-2018,1.2,4.1 and up,2000
Ghouls'n Ghosts MOBILE,GAME,3.9,168,49M,5000,Paid,2,Everyone 10+,Arcade,18-05-2017,1.00.00,4.1 and up,10000
Oddworld: New 'n' Tasty,GAME,4.6,1475,34M,10000,Paid,5,Teen,Action,02-01-2018,1.0.4,5.0 and up,50000
Planet O - Icon Pack,PERSONALIZATION,4.6,354,24M,10000,Paid,1,Everyone,Personalization,13-06-2018,1.6.1,4.1 and up,10000
Stand O’Food® (Full),FAMILY,4.4,925,40M,10000,Paid,2,Everyone,Casual,26-12-2014,1.5,2.3.3 and up,20000
Detect-O-Gromit (D.O.G 2),FAMILY,3.8,45,47M,10000,Paid,2,Everyone,Entertainment,16-07-2018,1.2,5.0 and up,20000
Obbligo o Verità? PRO,GAME,0,4,2.9M,100,Paid,1,Teen,Board,26-04-2018,"1,01",3.0 and up,100
O'Route Orienteering,SPORTS,4.2,6,1.3M,100,Paid,3,Everyone,Sports,27-12-2017,2.0.5,3.0 and up,300
Prime Key for Nougat Launcher& O Launcher &KitKat,PERSONALIZATION,4.1,324,313k,5000,Paid,7,Everyone,Personalization,20-08-2017,5.1,5.1 and up,35000
Android P | Xperia™ Theme 4800+ icons,PERSONALIZATION,4.6,29,39M,100,Paid,2,Everyone,Personalization,16-05-2018,1.0.0,6.0 and up,200
Android P Home KLWP,PERSONALIZATION,0,0,2.1M,5,Paid,1,Everyone,Personalization,14-04-2018,v2018.Apr.12.16,5.0 and up,5
P-Home for KLWP,PERSONALIZATION,5,4,12M,100,Paid,1,Everyone,Personalization,15-05-2018,v2018.May.15.14,5.0 and up,100
[Sub/EMUI] P Pro - EMUI 8.1/8.0/5.X Theme,PERSONALIZATION,4,13,19M,100,Paid,1,Everyone,Personalization,20-07-2018,H7SubTV0.1_TV0.4,7.0 and up,100
Pacify Exceed (Android P) - Theme for Xperia™,PERSONALIZATION,0,5,1.9M,10,Paid,1,Everyone,Personalization,02-07-2018,1.2.A.Exceed.Paid,6.0 and up,10
Theme Android P Design for LG V30,PERSONALIZATION,4.2,35,5.2M,500,Paid,1,Everyone,Personalization,26-04-2018,1.33,7.0 and up,500
Pistachio Launcher for Android P 9.0,PERSONALIZATION,0,0,2.3M,1,Paid,1,Everyone,Personalization,11-07-2018,1.0.2,4.1 and up,1
Theme Android P for LG G7 & V35,PERSONALIZATION,4.6,5,4.5M,100,Paid,1,Everyone,Personalization,07-07-2018,1.1,8.0 and up,100
Volume Slider Like Android P Volume Control,TOOLS,4.1,1129,1.7M,10000,Paid,1,Everyone,Tools,30-06-2018,1.28,4.1 and up,10000
Pacify (Android P theme) - Theme for Xperia™,PERSONALIZATION,0,1,1.8M,10,Paid,1,Everyone,Personalization,15-07-2018,1.0.B+.Exceed.Paid,5.0 and up,10
Popsicle Launcher for Android P 9.0 launcher,PERSONALIZATION,0,0,5.5M,0,Paid,1,Everyone,Personalization,11-07-2018,1.1,4.2 and up,0
Theme Android P Black design for LG V30,PERSONALIZATION,4.4,8,6.2M,100,Paid,1,Everyone,Personalization,06-04-2018,1.1,7.0 and up,100
Theme Android P Black for LG G7 & V35,PERSONALIZATION,4.6,5,4.3M,100,Paid,1,Everyone,Personalization,31-07-2018,1.3,7.0 and up,100
Pureness Pacify (Android P) - Theme for Xperia™,PERSONALIZATION,0,0,3.6M,1,Paid,1,Everyone,Personalization,23-07-2018,1.2.A.Exceed.Paid,6.0 and up,1
Android P Style Icon Pack,PERSONALIZATION,5,1,60M,100,Paid,1,Everyone,Personalization,16-06-2018,1,4.1 and up,100
Pixel Oreo/P Dark White AMOLED UI - Icon Pack,PERSONALIZATION,4.8,18,16M,5000,Paid,1,Everyone,Personalization,21-06-2018,5.1,4.0.3 and up,5000
pretty Easy privacy p?p,COMMUNICATION,3.7,21,20M,500,Paid,1,Everyone,Communication,30-07-2018,1.0.100rc1.withoutKeysync,5.0 and up,500
P Icon Pack,FAMILY,0,0,21M,10,Paid,1,Everyone,Entertainment,16-07-2018,1.0.6,4.0.3 and up,10
"Q Alerts: QAnon Drop Notifications, Research +++",NEWS_AND_MAGAZINES,4.7,143,26M,5000,Paid,1,Mature 17+,News & Magazines,26-07-2018,4.1.10,4.1 and up,5000
Q Avatar Pro,FAMILY,4.8,4,3.6M,100,Paid,1,Teen,Entertainment,04-03-2017,1.3.5,2.3 and up,100
Q-slope,TOOLS,4.5,2,3.9M,50,Paid,2,Everyone,Tools,03-12-2017,5,4.3 and up,100
R Instructor,FAMILY,4.1,135,4.9M,1000,Paid,5,Everyone,Education,21-02-2014,2.03,3.0 and up,5000
R-TYPE II,GAME,4.3,5682,37M,50000,Paid,2,Everyone,Arcade,02-03-2017,1.1.5,2.3.3 and up,100000
R-TYPE,GAME,4.5,7687,23M,100000,Paid,2,Everyone,Arcade,27-02-2017,2.3.1,2.3.3 and up,200000
Day R Premium,FAMILY,4.8,51068,57M,100000,Paid,5,Teen,Role Playing,21-06-2018,1.574,4.0.3 and up,500000
Elemental Knights R Platinum,FAMILY,3.8,2925,93M,50000,Paid,5,Teen,Role Playing,01-08-2018,6.2.1,4.1 and up,250000
Neon-R (Red),PERSONALIZATION,4.7,25,41M,100,Paid,1,Everyone,Personalization,12-03-2015,1,4.0.3 and up,100
